Artikel;Bestand;Mindestbestand;Verbrauch pro Tag;Reichweite (Tage);Status;Bestellen (Gebinde);Lieferant
Red Bull spring;0;0;0.0;;LEER;1;
Schwipp Schwapp 0,33l;0;0;0.0;;LEER;1;
28 Black Acai 0,25;36;0;0.0;;OK;0;
28 Black Acai ZERO 0,25;39;0;0.0;;OK;0;
7Days Croissant;12;0;0.0;;OK;0;
BiFi Caratza;18;0;0.0;;OK;0;
BiFi Original 20gr;18;0;0.0;;OK;0;
BiFi Roll 45gr.;25;0;0.0;;OK;0;
Chio Popcorn süß;2;0;0.0;;OK;0;
Chips Frisch gesalzen;9;0;0.0;;OK;0;
Chipsfrisch Ungarisch 40gr.;10;0;0.0;;OK;0;
Coca Cola 0,33l;32;0;0.0;;OK;0;
Coca Cola Zero 0,33l;26;0;0.0;;OK;0;
Corny Schoko;4;0;0.0;;OK;0;
Elfbar Basisgerät;9;0;0.0;;OK;0;
Elfbar Pods (alle Sorten);14;0;0.0;;OK;0;
Erdnüsse Ültje salzig;24;0;0.0;;OK;0;
Fanta Orange 0,33l;27;0;0.0;;OK;0;
Fanta Tutti Frutti 0,33l;31;0;0.0;;OK;0;
Haribo Goldbären;4;0;0.0;;OK;0;
Haribo Pico-Balla;3;0;0.0;;OK;0;
Kinder Bueno;27;0;0.0;;OK;0;
Kinder Cards;10;0;0.0;;OK;0;
Kinder Country;15;0;0.0;;OK;0;
Kinderriegel;12;0;0.0;;OK;0;
KitKat Chunky;23;0;0.0;;OK;0;
KitKat Vollmilch;15;0;0.0;;OK;0;
KitKat White;8;0;0.0;;OK;0;
Knoppers Riegel;33;0;0.0;;OK;0;
Kondome (Rossmann);1;0;0.0;;OK;0;
Mezzo Mix Orange 0,33l;43;0;0.0;;OK;0;
Milka Nussini;6;0;0.0;;OK;0;
MMs Crisp 36gr.;26;0;0.0;;OK;0;
MMs Peanut 36gr.;45;0;0.0;;OK;0;
Monster Lando Norris;11;0;0.0;;OK;0;
Monster Strawberry;15;0;0.0;;OK;0;
Monster Top Speed;7;0;0.0;;OK;0;
Monster Ultra Fiesta 0,5;17;0;0.0;;OK;0;
Monster Ultra White 0,5;21;0;0.0;;OK;0;
NicNac;7;0;0.0;;OK;0;
Pommbär original 30g;19;0;0.0;;OK;0;
Red Bull 0,25;25;0;0.0;;OK;0;
Red Bull Pink 2026 0,25;15;0;0.0;;OK;0;
Red Bull Summer 0,25;6;0;0.0;;OK;0;
Red Bull ZERO 0,25;3;0;0.0;;OK;0;
Redbull Fuji-Apfel-Ingwer;3;0;0.0;;OK;0;
Schwangerschaftstest (Rossmann);2;0;0.0;;OK;0;
Snickers Riegel 50gr.;15;0;0.0;;OK;0;
Sprite 0,33l;34;0;0.0;;OK;0;
Tonys Schokolade;7;0;0.0;;OK;0;
Twix Riegel 50 gr.;30;0;0.0;;OK;0;
