Artikel;Kategorie;Verkaeufe;Umsatz EUR;Anteil %;Schaechte;Automaten;Bestand Automat;Bestand Lager;Umsatz je Schacht;Verkaeufe je Woche;Letzter Verkauf;Tage ohne Verkauf
Elfbar Pods (alle Sorten);;65;650,00;26,4;8;2;14;13;81,25;5,1;07.09.2026;2
Red Bull 0,25;;52;154,00;6,2;2;2;8;22;77,00;4,0;07.09.2026;2
Monster Ultra White 0,5;;49;147,00;6,0;2;2;4;17;73,50;3,8;09.09.2026;0
Coca Cola 0,33l;;42;105,00;4,3;2;2;15;28;52,50;3,3;07.09.2026;2
Sprite 0,33l;;37;92,50;3,8;2;2;6;32;46,25;2,9;07.09.2026;2
Monster Strawberry;;28;81,00;3,3;2;2;10;15;40,50;2,2;30.08.2026;10
Mezzo Mix Orange 0,33l;;33;80,00;3,2;2;2;10;42;40,00;2,6;07.09.2026;2
Elfbar Basisgerät;;8;80,00;3,2;2;2;9;9;40,00;0,6;30.08.2026;10
Coca Cola Zero 0,33l;;31;77,50;3,1;2;2;10;25;38,75;2,4;07.09.2026;2
28 Black Acai ZERO 0,25;;25;75,00;3,0;2;2;8;39;37,50;1,9;30.08.2026;10
Monster Ultra Fiesta 0,5;;25;75,00;3,0;2;2;10;17;37,50;1,9;30.08.2026;10
BiFi Caratza;;41;74,00;3,0;2;2;8;15;37,00;3,2;08.09.2026;1
28 Black Acai 0,25;;23;69,00;2,8;2;2;8;34;34,50;1,8;08.09.2026;1
Fanta Orange 0,33l;;27;67,50;2,7;2;2;10;27;33,75;2,1;03.09.2026;6
Red Bull Summer 0,25;;20;60,00;2,4;1;1;4;4;60,00;1,6;09.09.2026;0
Red Bull ZERO 0,25;;18;54,00;2,2;1;1;3;3;54,00;1,4;03.09.2026;6
Schwangerschaftstest (Rossmann);;7;49,00;2,0;2;2;2;2;24,50;0,5;03.09.2026;6
Fanta Tutti Frutti 0,33l;;18;45,00;1,8;2;2;11;31;22,50;1,4;16.08.2026;24
BiFi Roll 45gr.;;24;44,50;1,8;2;2;10;25;22,25;1,9;03.09.2026;6
NicNac;;28;39,50;1,6;2;2;7;7;19,75;2,2;04.09.2026;5
Red Bull spring;;12;30,50;1,2;0;0;0;0;;0,9;05.09.2026;4
Snickers Riegel 50gr.;;19;29,00;1,2;2;2;14;15;14,50;1,5;02.09.2026;7
Astra Kiezmische 0,33l;;11;27,50;1,1;0;0;0;0;;0,9;30.07.2026;41
MMs Crisp 36gr.;;18;27,00;1,1;2;2;13;26;13,50;1,4;03.09.2026;6
Pommbär original 30g;;17;25,50;1,0;1;1;4;19;25,50;1,3;05.09.2026;4
KitKat White;;15;22,50;0,9;2;2;8;8;11,25;1,2;23.08.2026;17
MMs Peanut 36gr.;;14;21,00;0,9;2;2;22;45;10,50;1,1;29.08.2026;11
Twix Riegel 50 gr.;;14;18,50;0,8;2;2;22;30;9,25;1,1;03.09.2026;6
BiFi Original 20gr;;12;17,50;0,7;2;2;15;17;8,75;0,9;08.09.2026;1
Chipsfrisch Ungarisch 40gr.;;10;15,00;0,6;2;2;13;10;7,50;0,8;02.08.2026;38
Kinderriegel;;12;12,00;0,5;2;2;11;11;6,00;0,9;07.09.2026;2
KitKat Vollmilch;;8;12,00;0,5;2;2;15;15;6,00;0,6;04.09.2026;5
Haribo Goldbären;;6;12,00;0,5;2;2;4;4;6,00;0,5;03.09.2026;6
KitKat Chunky;;6;12,00;0,5;2;2;18;23;6,00;0,5;02.09.2026;7
Knoppers Riegel;;5;10,00;0,4;2;2;10;33;5,00;0,4;01.09.2026;8
7Days Croissant;;3;8,00;0,3;0;0;0;12;;0,2;30.08.2026;10
Tonys Schokolade;;3;8,00;0,3;0;0;0;7;;0,2;12.07.2026;59
Kinder Country;;4;7,00;0,3;2;2;15;15;3,50;0,3;03.08.2026;37
Unbekannt;;2;5,50;0,2;0;0;0;0;;0,2;25.06.2026;76
Erdnüsse Ültje salzig;;3;4,50;0,2;2;2;24;24;2,25;0,2;02.08.2026;38
Kinder Bueno;;3;4,50;0,2;2;2;20;27;2,25;0,2;09.07.2026;62
Milka Nussini;;3;4,50;0,2;2;2;6;6;2,25;0,2;16.08.2026;24
Chio Popcorn süß;;2;4,00;0,2;1;1;2;2;4,00;0,2;05.09.2026;4
Haribo Pico-Balla;;1;3,00;0,1;1;1;2;2;3,00;0,1;06.09.2026;3
Redbull Fuji-Apfel-Ingwer;;1;3,00;0,1;1;1;2;2;3,00;0,1;07.09.2026;2
Corny Schoko;;1;1,50;0,1;0;0;0;4;;0,1;12.07.2026;59
BacardiCola 10%;;0;0,00;0,0;0;0;0;0;;0,0;02.06.2026;99
Chips Frisch gesalzen;;0;0,00;0,0;1;1;5;9;;0,0;;
Jack Daniels Cola 10%;;0;0,00;0,0;0;0;0;0;;0,0;24.05.2026;108
Kinder Cards;;0;0,00;0,0;2;2;10;10;;0,0;;
Kondome (Rossmann);;0;0,00;0,0;0;0;0;1;;0,0;31.05.2026;101
Monster Lando Norris;;0;0,00;0,0;0;0;0;11;;0,0;;
Monster Top Speed;;0;0,00;0,0;1;1;5;7;;0,0;;
Red Bull Pink 2026 0,25;;0;0,00;0,0;2;2;10;15;;0,0;;
Schwipp Schwapp 0,33l;;0;0,00;0,0;0;0;0;0;;0,0;;
Trulli Weingummi;;0;0,00;0,0;0;0;0;0;;0,0;02.04.2026;160
Wodka Gorbatschow 37,5% 0,1l;;0;0,00;0,0;0;0;0;0;;0,0;19.04.2026;143
