Artikel;Verkaeufe;Umsatz EUR
Monster Ultra White 0,5;23;69,00
Elfbar Pods (alle Sorten);20;200,00
Red Bull 0,25;17;51,00
Coca Cola 0,33l;17;42,50
Monster Strawberry;13;39,00
Coca Cola Zero 0,33l;12;30,00
BiFi Caratza;12;24,00
Monster Ultra Fiesta 0,5;10;30,00
28 Black Acai ZERO 0,25;10;30,00
Fanta Orange 0,33l;10;25,00
Fanta Tutti Frutti 0,33l;10;25,00
Sprite 0,33l;10;25,00
Red Bull spring;9;22,50
Red Bull ZERO 0,25;8;24,00
BiFi Roll 45gr.;8;16,00
Pommbär original 30g;8;12,00
Mezzo Mix Orange 0,33l;7;17,50
Snickers Riegel 50gr.;7;12,00
BiFi Original 20gr;7;10,50
MMs Crisp 36gr.;6;9,00
28 Black Acai 0,25;5;15,00
KitKat White;5;7,50
Red Bull Summer 0,25;4;12,00
KitKat Vollmilch;4;6,00
NicNac;4;6,00
Twix Riegel 50 gr.;4;6,00
MMs Peanut 36gr.;4;6,00
Elfbar Basisgerät;3;30,00
Schwangerschaftstest (Rossmann);3;21,00
7Days Croissant;3;8,00
Haribo Goldbären;3;6,00
KitKat Chunky;3;6,00
Kinderriegel;3;3,00
Knoppers Riegel;1;2,00
Chipsfrisch Ungarisch 40gr.;1;1,50
Erdnüsse Ültje salzig;1;1,50
Kinder Country;1;1,50
Milka Nussini;1;1,50

Gesamt;277;854,50
