quelle,fremdbezeichnung,artikel_id
vensoft,28 BLACK ACAI 0.25,28-black-acai-025
vensoft,28 BLACK ACAI ZERO 0.25,28-black-acai-zero-025
vensoft,7DAYS CROISSANT,7days-croissant
vensoft,BIFI CARATZA,bifi-caratza
vensoft,BIFI ORIGINAL 20GR,bifi-original-20gr
vensoft,BIFI ROLL 45GR.,bifi-roll-45gr
vensoft,CHIO POPCORN SUESS,chio-popcorn-suess
vensoft,CHIPSFRISCH GESALZEN,chips-frisch-gesalzen
vensoft,CHIPSFRISCH UNGARISCH 40GR.,chipsfrisch-ungarisch-40gr
vensoft,COCA COLA 0.33L,coca-cola-033l
vensoft,COCA COLA ZERO 0.33L,coca-cola-zero-033l
vensoft,CORNY SCHOKO,corny-schoko
vensoft,ELFBAR BASISGERAET,elfbar-basisgeraet
vensoft,ELFBAR POD BLACKBERRY ICE 20MG 2X2ML,elfbar-pods
vensoft,ELFBAR POD BLUEBERRY 20MG 2X2ML,elfbar-pods
vensoft,ELFBAR POD CHERRY 20MG 2X2ML,elfbar-pods
vensoft,ELFBAR POD COLA 20MG 2X2ML,elfbar-pods
vensoft,ELFBAR POD MIX BERRIES 20MG 2X2ML,elfbar-pods
vensoft,ELFBAR POD PEACH ICE 20MG 2X2ML,elfbar-pods
vensoft,ELFBAR POD WATERMELON 20MG 2X2ML,elfbar-pods
vensoft,ERDNUESSE UELTJE SALZIG,erdnuesse-ueltje-salzig
vensoft,FANTA ORANGE 0.33L,fanta-orange-033l
vensoft,FANTA TUTTI FRUTTI 0.33L,fanta-tutti-frutti-033l
vensoft,HARIBO GOLDBAEREN,haribo-goldbaeren
vensoft,HARIBO PICO BALLA,haribo-pico-balla
vensoft,KINDER BUENO,kinder-bueno
vensoft,KINDER CARDS,kinder-cards
vensoft,KINDER COUNTRY,kinder-country
vensoft,KINDERRIEGEL,kinderriegel
vensoft,KITKAT CHUNKY,kitkat-chunky
vensoft,KITKAT VOLLMILCH,kitkat-vollmilch
vensoft,KITKAT WHITE,kitkat-white
vensoft,KNOPPERS RIEGEL,knoppers-riegel
vensoft,KONDOME ROSSMANN,kondome-rossmann
vensoft,MEZZO MIX ORANGE 0.33L,mezzo-mix-orange-033l
vensoft,MILKA NUSSINI,milka-nussini
vensoft,MMS CRISP 36GR.,mms-crisp-36gr
vensoft,MMS PEANUT 36GR.,mms-peanut-36gr
vensoft,MONSTER LANDO NORRIS,monster-lando-norris
vensoft,MONSTER STRAWBERRY,monster-strawberry
vensoft,MONSTER TOPSPEED,monster-top-speed
vensoft,MONSTER ULTRA FIESTA 0.5,monster-ultra-fiesta-05
vensoft,MONSTER ULTRA WHITE 0.5,monster-ultra-white-05
vensoft,NICNAC,nicnac
vensoft,POMMBAER ORIGINAL 30G,pommbaer-original-30g
vensoft,RED BULL 0.25,red-bull-025
vensoft,RED BULL FUJI APLEF INGWER,redbull-fuji-apfel-ingwer
vensoft,RED BULL SPRING 2026 0.25,red-bull-spring
vensoft,RED BULL SUMMER 0.25,red-bull-summer-025
vensoft,RED BULL ZERO 0.25,red-bull-zero-025
vensoft,SCHWANGERSCHAFTSTEST ROSSMANN,schwangerschaftstest-rossmann
vensoft,SCHWIPP SCHWAPP 0.33L,schwipp-schwapp-033l
vensoft,SNICKERS RIEGEL 50GR.,snickers-riegel-50gr
vensoft,SPRITE 0.33L,sprite-033l
vensoft,TONYS SCHOKOLADE,tonys-schokolade
vensoft,TWIX RIEGEL 50 GR.,twix-riegel-50-gr
