datum,typ,artikel_id,menge,beleg,bezeichnung,quelle,notiz
2026-09-06,ANFANGSBESTAND,28-black-acai-025,36,inventur-2026-09-06,"28 Black Acai 0,25",inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,28-black-acai-zero-025,39,inventur-2026-09-06,"28 Black Acai ZERO 0,25",inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,7days-croissant,12,inventur-2026-09-06,7Days Croissant,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,bifi-caratza,18,inventur-2026-09-06,BiFi Caratza,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,bifi-original-20gr,18,inventur-2026-09-06,BiFi Original 20gr,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,bifi-roll-45gr,25,inventur-2026-09-06,BiFi Roll 45gr.,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,chio-popcorn-suess,2,inventur-2026-09-06,Chio Popcorn süß,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,chips-frisch-gesalzen,9,inventur-2026-09-06,Chips Frisch gesalzen,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,chipsfrisch-ungarisch-40gr,10,inventur-2026-09-06,Chipsfrisch Ungarisch 40gr.,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,coca-cola-033l,32,inventur-2026-09-06,"Coca Cola 0,33l",inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,coca-cola-zero-033l,26,inventur-2026-09-06,"Coca Cola Zero 0,33l",inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,corny-schoko,4,inventur-2026-09-06,Corny Schoko,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,elfbar-basisgeraet,9,inventur-2026-09-06,Elfbar Basisgerät,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,elfbar-pods,6,inventur-2026-09-06,Elfbar Pod Blueberry 20mg 2x2ml,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,elfbar-pods,1,inventur-2026-09-06,Elfbar Pod Peach Ice 20mg 2x2ml,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,elfbar-pods,5,inventur-2026-09-06,Elfbar Pod Cherry 20mg 2x2ml,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,elfbar-pods,2,inventur-2026-09-06,Elfbar Pod Watermelon 20mg 2x2ml,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,erdnuesse-ueltje-salzig,24,inventur-2026-09-06,Erdnüsse Ültje salzig,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,fanta-orange-033l,27,inventur-2026-09-06,"Fanta Orange 0,33l",inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,fanta-tutti-frutti-033l,31,inventur-2026-09-06,"Fanta Tutti Frutti 0,33l",inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,haribo-goldbaeren,4,inventur-2026-09-06,Haribo Goldbären,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,haribo-pico-balla,3,inventur-2026-09-06,Haribo Pico-Balla,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,kinder-bueno,27,inventur-2026-09-06,Kinder Bueno,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,kinder-cards,10,inventur-2026-09-06,Kinder Cards,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
2026-09-06,ANFANGSBESTAND,kinder-country,15,inventur-2026-09-06,Kinder Country,inventur,ProVend_Lagerbestand_2026-09-06.xlsx
